source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:05200,Pathways in cancer,0.010801667756139766,True,Pathways in cancer,527,10,5,8484,0.5,0.009487666034155597,query_1,['KEGG:00000']
GO:BP,GO:0044774,mitotic DNA integrity checkpoint signaling,0.010952322773319277,True,"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA during mitosis. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and ends with signal transduction."" [GOC:mtg_cell_cycle]",91,10,3,21031,0.3,0.03296703296703297,query_1,"['GO:0007093', 'GO:0031570']"
GO:MF,GO:0044877,protein-containing complex binding,0.011248717707396003,True,"""Binding to a macromolecular complex."" [GOC:jl]",1752,10,6,20212,0.6,0.003424657534246575,query_1,['GO:0005488']
MIRNA,MIRNA:hsa-miR-223-3p,hsa-miR-223-3p,0.011257237214965316,True,hsa-miR-223-3p,99,10,3,14819,0.3,0.030303030303030304,query_1,['MIRNA:000000']
GO:BP,GO:0033036,macromolecule localization,0.011712667891486228,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",3210,10,8,21031,0.8,0.0024922118380062306,query_1,['GO:0051179']
GO:BP,GO:0009416,response to light stimulus,0.011787731168192553,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."" [GOC:go_curators, ISBN:0582227089]",317,10,4,21031,0.4,0.012618296529968454,query_1,['GO:0009314']
HP,HP:0005374,Cellular immunodeficiency,0.012568774667485115,True,An immunodeficiency characterized by defective cell-mediated immunity or humoral immunity.,36,7,3,4958,0.42857142857142855,0.08333333333333333,query_1,['HP:0002721']
GO:BP,GO:0045892,negative regulation of DNA-templated transcription,0.012844968744472711,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1333,10,6,21031,0.6,0.00450112528132033,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902679']"
GO:BP,GO:1900182,positive regulation of protein localization to nucleus,0.012865058432720318,True,"""Any process that activates or increases the frequency, rate or extent of protein localization to nucleus."" [GOC:TermGenie]",96,10,3,21031,0.3,0.03125,query_1,"['GO:0034504', 'GO:1900180', 'GO:1903829']"
REAC,REAC:R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.01323158047365748,True,DDX58/IFIH1-mediated induction of interferon-alpha/beta,82,10,3,10842,0.3,0.036585365853658534,query_1,['REAC:R-HSA-168249']
GO:BP,GO:0080134,regulation of response to stress,0.01323988887511503,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1340,10,6,21031,0.6,0.004477611940298508,query_1,"['GO:0006950', 'GO:0048583']"
GO:BP,GO:0043412,macromolecule modification,0.013253822200896864,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",3262,10,8,21031,0.8,0.002452483139178418,query_1,['GO:0043170']
GO:MF,GO:0050681,nuclear androgen receptor binding,0.013291040021275742,True,"""Binding to a nuclear androgen receptor."" [GOC:ai]",27,10,2,20212,0.2,0.07407407407407407,query_1,['GO:0016922']
GO:BP,GO:1904951,positive regulation of establishment of protein localization,0.01348543870763638,True,"""Any process that activates or increases the frequency, rate or extent of establishment of protein localization."" [GO_REF:0000058, GOC:TermGenie, PMID:22761445]",328,10,4,21031,0.4,0.012195121951219513,query_1,"['GO:0045184', 'GO:0070201', 'GO:1903829']"
GO:BP,GO:1902679,negative regulation of RNA biosynthetic process,0.013644703612446291,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1347,10,6,21031,0.6,0.004454342984409799,query_1,"['GO:0010558', 'GO:0032774', 'GO:0051253', 'GO:2001141']"
REAC,REAC:R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands,0.013815574998540865,True,TP53 Regulates Transcription of Death Receptors and Ligands,12,10,2,10842,0.2,0.16666666666666666,query_1,['REAC:R-HSA-5633008']
REAC,REAC:R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,0.013815574998540865,True,TP53 Regulates Transcription of Caspase Activators and Caspases,12,10,2,10842,0.2,0.16666666666666666,query_1,['REAC:R-HSA-5633008']
REAC,REAC:R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,0.013815574998540865,True,Activation of the TFAP2 (AP-2) family of transcription factors,12,10,2,10842,0.2,0.16666666666666666,query_1,['REAC:R-HSA-8864260']
REAC,REAC:R-HSA-3371511,HSF1 activation,0.013815574998540865,True,HSF1 activation,12,10,2,10842,0.2,0.16666666666666666,query_1,['REAC:R-HSA-3371556']
GO:BP,GO:0018193,peptidyl-amino acid modification,0.014424419800399345,True,"""The alteration of an amino acid residue in a peptide."" [GOC:mah]",747,10,5,21031,0.5,0.006693440428380187,query_1,['GO:0036211']
GO:BP,GO:0051172,negative regulation of nitrogen compound metabolic process,0.014664948843540467,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]",2202,10,7,21031,0.7,0.003178928247048138,query_1,"['GO:0006807', 'GO:0009892', 'GO:0051171']"
WP,WP:WP399,Wnt signaling pathway and pluripotency,0.0151029395624907,True,Wnt signaling pathway and pluripotency,100,9,3,8286,0.3333333333333333,0.03,query_1,['WP:000000']
GO:BP,GO:0071496,cellular response to external stimulus,0.0157177502201304,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:mah]",341,10,4,21031,0.4,0.011730205278592375,query_1,['GO:0009605']
GO:BP,GO:0010225,response to UV-C,0.015948004684304053,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."" [GOC:tb]",12,10,2,21031,0.2,0.16666666666666666,query_1,['GO:0009411']
GO:BP,GO:0071236,cellular response to antibiotic,0.015948004684304053,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an antibiotic stimulus. An antibiotic is a chemical substance produced by a microorganism which has the capacity to inhibit the growth of or to kill other microorganisms."" [GOC:mah]",12,10,2,21031,0.2,0.16666666666666666,query_1,"['GO:0046677', 'GO:0070887']"
CORUM,CORUM:570,p300-CBP-p270-SWI/SNF complex,0.015965437256967096,True,p300-CBP-p270-SWI/SNF complex,7,8,2,3383,0.25,0.2857142857142857,query_1,['CORUM:0000000']
HP,HP:0006721,Acute lymphoblastic leukemia,0.016058355987109404,True,A form of acute leukemia characterized by excess lympoblasts.,39,7,3,4958,0.42857142857142855,0.07692307692307693,query_1,['HP:0002488']
GO:CC,GO:0070013,intracellular organelle lumen,0.016388377336368914,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",6657,10,9,22097,0.9,0.0013519603424966202,query_1,"['GO:0043229', 'GO:0043233']"
GO:CC,GO:0043233,organelle lumen,0.016388377336368914,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",6657,10,9,22097,0.9,0.0013519603424966202,query_1,"['GO:0031974', 'GO:0043226']"
GO:CC,GO:0031974,membrane-enclosed lumen,0.016388377336368914,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",6657,10,9,22097,0.9,0.0013519603424966202,query_1,['GO:0110165']
GO:MF,GO:0051059,NF-kappaB binding,0.01645876328740406,True,"""Binding to NF-kappaB, a transcription factor for eukaryotic RNA polymerase II promoters."" [GOC:ai]",30,10,2,20212,0.2,0.06666666666666667,query_1,['GO:0061629']
GO:BP,GO:0044271,cellular nitrogen compound biosynthetic process,0.016878304172568036,True,"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]",4836,10,9,21031,0.9,0.0018610421836228288,query_1,"['GO:0034641', 'GO:0044249']"
GO:BP,GO:0035282,segmentation,0.01732729989867304,True,"""The regionalization process that divides an organism or part of an organism into a series of semi-repetitive parts, or segments, often arranged along a longitudinal axis."" [PMID:10611687, PMID:9706689]",106,10,3,21031,0.3,0.02830188679245283,query_1,['GO:0003002']
HP,HP:0012539,Non-Hodgkin lymphoma,0.01734982810556403,True,A type of lymphoma characterized microscopically by the absence of multinucleated Reed-Sternberg cells.,40,7,3,4958,0.42857142857142855,0.075,query_1,['HP:0002665']
HP,HP:0009715,Papillary cystadenoma of the epididymis,0.01776543974116762,True,"A cystadenoma, an epithelial tumor, that originates within the head of the epididymis.",5,7,2,4958,0.2857142857142857,0.4,query_1,"['HP:0009714', 'HP:0030421']"
HP,HP:0033777,Supernumerary cusp,0.01776543974116762,True,Additional cusps of a dental crown.,5,7,2,4958,0.2857142857142857,0.4,query_1,['HP:0011063']
HP,HP:0030392,Choroid plexus carcinoma,0.01776543974116762,True,"Intraventricular papillary neoplasm derived from choroid plexus epithelium. Plexus tumors are most common in the lateral and fourth ventricles; while 80% of lateral ventricle tumors present in children, fourth ventricle tumors are evenly distributed in all age groups. Clinically, choroid plexus tumors tend to cause hydrocephalus and increased intracranial pressure. Histologically, choroid plexus papillomas correspond to WHO grade I, choroid plexus carcinomas to WHO grade III.",5,7,2,4958,0.2857142857142857,0.4,query_1,"['HP:0007376', 'HP:0100836']"
HP,HP:0030421,Epididymal neoplasm,0.01776543974116762,True,"A tumor (abnormal growth of tissue) of the epididymis, an duct that transports spermatozoa from the testis to the vas deferens.",5,7,2,4958,0.2857142857142857,0.4,query_1,['HP:0010785']
REAC,REAC:R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.018671674347758013,True,Pre-NOTCH Transcription and Translation,92,10,3,10842,0.3,0.03260869565217391,query_1,['REAC:R-HSA-1912422']
REAC,REAC:R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,0.019030006313798604,True,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,14,10,2,10842,0.2,0.14285714285714285,query_1,['REAC:R-HSA-5633008']
REAC,REAC:R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors,0.019030006313798604,True,Regulation of TP53 Activity through Association with Co-factors,14,10,2,10842,0.2,0.14285714285714285,query_1,['REAC:R-HSA-5633007']
REAC,REAC:R-HSA-8941856,RUNX3 regulates NOTCH signaling,0.019030006313798604,True,RUNX3 regulates NOTCH signaling,14,10,2,10842,0.2,0.14285714285714285,query_1,['REAC:R-HSA-8878159']
HP,HP:0009726,Renal neoplasm,0.01907779576073276,True,The presence of a neoplasm of the kidney.,137,7,4,4958,0.5714285714285714,0.029197080291970802,query_1,"['HP:0000077', 'HP:0010786']"
WP,WP:WP2263,Androgen receptor network in prostate cancer,0.019511796219495513,True,Androgen receptor network in prostate cancer,109,9,3,8286,0.3333333333333333,0.027522935779816515,query_1,['WP:000000']
WP,WP:WP710,DNA damage response only ATM dependent ,0.02004788878450218,True,DNA damage response only ATM dependent ,110,9,3,8286,0.3333333333333333,0.02727272727272727,query_1,['WP:000000']
WP,WP:WP5322,CKAP4 signaling pathway map,0.02059350828984257,True,CKAP4 signaling pathway map,111,9,3,8286,0.3333333333333333,0.02702702702702703,query_1,['WP:000000']
WP,WP:WP5331,Autophagy in pancreatic ductal adenocarcinoma,0.021917973598836446,True,Autophagy in pancreatic ductal adenocarcinoma,20,9,2,8286,0.2222222222222222,0.1,query_1,['WP:000000']
REAC,REAC:R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,0.0219468953169307,True,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,15,10,2,10842,0.2,0.13333333333333333,query_1,['REAC:R-HSA-9692914']
REAC,REAC:R-HSA-918233,TRAF3-dependent IRF activation pathway,0.0219468953169307,True,TRAF3-dependent IRF activation pathway,15,10,2,10842,0.2,0.13333333333333333,query_1,['REAC:R-HSA-168928']
GO:BP,GO:0051253,negative regulation of RNA metabolic process,0.021975136104147207,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1463,10,6,21031,0.6,0.004101161995898838,query_1,"['GO:0010605', 'GO:0016070', 'GO:0045934', 'GO:0051252']"
HP,HP:0010786,Urinary tract neoplasm,0.021999195500400668,True,The presence of a neoplasm of the urinary system.,142,7,4,4958,0.5714285714285714,0.028169014084507043,query_1,['HP:0007379']
HP,HP:0000953,Hyperpigmentation of the skin,0.022001306941051638,True,A darkening of the skin related to an increase in melanin production and deposition.,322,7,5,4958,0.7142857142857143,0.015527950310559006,query_1,['HP:0001000']
GO:BP,GO:0006325,chromatin organization,0.02214804481394939,True,"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]",816,10,5,21031,0.5,0.006127450980392157,query_1,['GO:0071824']
GO:MF,GO:0140993,histone modifying activity,0.02237124103678507,True,"""A catalytic activity that acts on a histone protein. Reversible histone modifications contribute to regulation of gene expression."" [GOC:pg]",212,10,3,20212,0.3,0.014150943396226415,query_1,['GO:0140096']
HP,HP:0002896,Neoplasm of the liver,0.02262107346768397,True,A tumor (abnormal growth of tissue) of the liver.,143,7,4,4958,0.5714285714285714,0.027972027972027972,query_1,"['HP:0001392', 'HP:0007378']"
HP,HP:0010987,Abnormal cellular immune system morphology,0.023256887813183053,True,An abnormality of the morphology or counts of the cells that make up the immune system.,615,7,6,4958,0.8571428571428571,0.00975609756097561,query_1,['HP:0032251']
HP,HP:0001881,Abnormal leukocyte morphology,0.023256887813183053,True,An abnormality of leukocytes.,615,7,6,4958,0.8571428571428571,0.00975609756097561,query_1,"['HP:0001871', 'HP:0010987']"
GO:BP,GO:2000278,regulation of DNA biosynthetic process,0.023299599845347973,True,"""Any process that modulates the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]",117,10,3,21031,0.3,0.02564102564102564,query_1,"['GO:0010556', 'GO:0051052', 'GO:0071897']"
REAC,REAC:R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,0.025069824316345347,True,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,16,10,2,10842,0.2,0.125,query_1,['REAC:R-HSA-186712']
REAC,REAC:R-HSA-9818027,NFE2L2 regulating anti-oxidant/detoxification enzymes,0.025069824316345347,True,NFE2L2 regulating anti-oxidant/detoxification enzymes,16,10,2,10842,0.2,0.125,query_1,['REAC:R-HSA-9759194']
REAC,REAC:R-HSA-9614657,FOXO-mediated transcription of cell death genes,0.025069824316345347,True,FOXO-mediated transcription of cell death genes,16,10,2,10842,0.2,0.125,query_1,['REAC:R-HSA-9614085']
GO:BP,GO:0006474,N-terminal protein amino acid acetylation,0.025352525438973504,True,"""The acetylation of the N-terminal amino acid of proteins."" [GOC:ai]",15,10,2,21031,0.2,0.13333333333333333,query_1,"['GO:0006473', 'GO:0031365', 'GO:0051604']"
GO:BP,GO:0045786,negative regulation of cell cycle,0.026116834326509075,True,"""Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]",388,10,4,21031,0.4,0.010309278350515464,query_1,"['GO:0007049', 'GO:0048523', 'GO:0051726']"
HP,HP:0100852,Abnormal fear-induced behavior,0.026630232837122868,True,An abnormal fear-induced behavior includes observable actions. This behavior is characterized by abnormal responses to fear or abnormal fear levels. Examples of such behavior include avoiding fear-inducing situations.,6,7,2,4958,0.2857142857142857,0.3333333333333333,query_1,['HP:5200241']
HP,HP:0002700,Large foramen magnum,0.026630232837122868,True,An abnormal increase in the size of the foramen magnum.,6,7,2,4958,0.2857142857142857,0.3333333333333333,query_1,['HP:0002699']
HP,HP:0030070,Central primitive neuroectodermal tumor,0.026630232837122868,True,A primitive neuroectodermal neoplasm that occurs in the central nervous system.,6,7,2,4958,0.2857142857142857,0.3333333333333333,query_1,['HP:0030065']
KEGG,KEGG:04210,Apoptosis,0.02673097098281533,True,Apoptosis,135,10,3,8484,0.3,0.022222222222222223,query_1,['KEGG:00000']
HP,HP:0002216,Premature graying of hair,0.02835339597061248,True,Development of gray hair at a younger than normal age.,47,7,3,4958,0.42857142857142855,0.06382978723404255,query_1,"['HP:0007495', 'HP:0009887']"
HP,HP:0100743,Neoplasm of the rectum,0.02835339597061248,True,Neoplasm of the rectum,47,7,3,4958,0.42857142857142855,0.06382978723404255,query_1,"['HP:0002034', 'HP:0100834']"
GO:BP,GO:0090399,replicative senescence,0.02896696600402112,True,"""A cell aging process associated with the dismantling of a cell as a response to telomere shortening and/or cellular aging."" [GOC:BHF]",16,10,2,21031,0.2,0.125,query_1,['GO:0044237']
GO:BP,GO:0051641,cellular localization,0.029517652692236072,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",3621,10,8,21031,0.8,0.0022093344380005524,query_1,"['GO:0009987', 'GO:0051179']"
HPA,HPA:0380513,placenta; decidual cells[High],0.02957174200993419,True,placenta; decidual cells[High],1209,10,6,11019,0.6,0.004962779156327543,query_1,['HPA:0380512']
HP,HP:0032251,Abnormal immune system morphology,0.02969552217236263,True,Abnormal immune system morphology,641,7,6,4958,0.8571428571428571,0.0093603744149766,query_1,['HP:0002715']
REAC,REAC:R-HSA-1912422,Pre-NOTCH Expression and Processing,0.030119309222099835,True,Pre-NOTCH Expression and Processing,108,10,3,10842,0.3,0.027777777777777776,query_1,['REAC:R-HSA-157118']
REAC,REAC:R-HSA-1368082,RORA activates gene expression,0.031932577389304266,True,RORA activates gene expression,18,10,2,10842,0.2,0.1111111111111111,query_1,['REAC:R-HSA-400253']
REAC,REAC:R-HSA-3232118,SUMOylation of transcription factors,0.031932577389304266,True,SUMOylation of transcription factors,18,10,2,10842,0.2,0.1111111111111111,query_1,['REAC:R-HSA-3108232']
HP,HP:0100568,Neoplasm of the endocrine system,0.03194584977187817,True,A tumor (abnormal growth of tissue) of the endocrine system.,156,7,4,4958,0.5714285714285714,0.02564102564102564,query_1,"['HP:0000818', 'HP:0011793']"
HP,HP:0009733,Glioma,0.03217682335382894,True,"The presence of a glioma, which is a neoplasm of the central nervous system originating from a glial cell (astrocytes or oligodendrocytes).",49,7,3,4958,0.42857142857142855,0.061224489795918366,query_1,"['HP:0030063', 'HP:0100705', 'HP:0100836']"
GO:BP,GO:0000077,DNA damage checkpoint signaling,0.03268052544959883,True,"""A signal transduction process that contributes to a DNA damage checkpoint."" [GOC:mah]",131,10,3,21031,0.3,0.022900763358778626,query_1,"['GO:0031570', 'GO:0042770']"
GO:BP,GO:1900117,regulation of execution phase of apoptosis,0.032820901596690696,True,"""Any process that modulates the frequency, rate or extent of execution phase of apoptosis."" [GOC:mtg_apoptosis, GOC:TermGenie]",17,10,2,21031,0.2,0.11764705882352941,query_1,"['GO:0050794', 'GO:0097194']"
GO:BP,GO:0032880,regulation of protein localization,0.03352412726238262,True,"""Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location."" [GOC:dph, GOC:mah, GOC:tb]",889,10,5,21031,0.5,0.00562429696287964,query_1,"['GO:0008104', 'GO:0060341']"
GO:MF,GO:0019904,protein domain specific binding,0.033573529950267335,True,"""Binding to a specific domain of a protein."" [GOC:go_curators]",653,10,4,20212,0.4,0.006125574272588055,query_1,['GO:0005515']
WP,WP:WP366,TGF beta signaling pathway,0.03362319532793102,True,TGF beta signaling pathway,131,9,3,8286,0.3333333333333333,0.022900763358778626,query_1,['WP:000000']
GO:MF,GO:0048156,tau protein binding,0.0340490799654679,True,"""Binding to tau protein. tau is a microtubule-associated protein, implicated in Alzheimer's disease, Down Syndrome and ALS."" [GOC:jid]",43,10,2,20212,0.2,0.046511627906976744,query_1,['GO:0008092']
HP,HP:0000446,Narrow nasal bridge,0.03420982245650811,True,Decreased width of the bony bridge of the nose.,50,7,3,4958,0.42857142857142855,0.06,query_1,['HP:0000422']
GO:BP,GO:0051716,cellular response to stimulus,0.03421378216526016,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7394,10,10,21031,1.0,0.001352447930754666,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0043254,regulation of protein-containing complex assembly,0.0346495498153605,True,"""Any process that modulates the frequency, rate or extent of protein complex assembly."" [GOC:jl]",417,10,4,21031,0.4,0.009592326139088728,query_1,"['GO:0044087', 'GO:0051128', 'GO:0065003']"
GO:MF,GO:0004402,histone acetyltransferase activity,0.0356610498906803,True,"""Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone."" [EC:2.3.1.48]",44,10,2,20212,0.2,0.045454545454545456,query_1,"['GO:0061733', 'GO:0140993']"
HP,HP:0004411,Deviated nasal septum,0.03725724368825947,True,Positioning of the nasal septum to the right or left in contrast to the normal midline position of the nasal septum.,7,7,2,4958,0.2857142857142857,0.2857142857142857,query_1,['HP:0000419']
HP,HP:0030434,Pilomatrixoma,0.03725724368825947,True,"Pilomatricoma is an asymptomatic slowly growing benign cutaneous tumor, differentiating towards the hair matrix of the hair follicle. It is covered by normal or hyperemic skin, and usually varies in size from 0.5 to 3 cm.",7,7,2,4958,0.2857142857142857,0.2857142857142857,query_1,['HP:0012842']
GO:BP,GO:0071824,protein-DNA complex organization,0.03852861134771344,True,"""Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein-DNA complex."" [GOC:mah]",915,10,5,21031,0.5,0.00546448087431694,query_1,['GO:0043933']
GO:BP,GO:0010212,response to ionizing radiation,0.03901477913474155,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]",139,10,3,21031,0.3,0.02158273381294964,query_1,['GO:0009314']
REAC,REAC:R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,0.03961581867877945,True,NOTCH4 Intracellular Domain Regulates Transcription,20,10,2,10842,0.2,0.1,query_1,['REAC:R-HSA-9013694']
REAC,REAC:R-HSA-5621575,CD209 (DC-SIGN) signaling,0.03961581867877945,True,CD209 (DC-SIGN) signaling,20,10,2,10842,0.2,0.1,query_1,['REAC:R-HSA-5621481']
GO:BP,GO:0031570,DNA integrity checkpoint signaling,0.03985913449449797,True,"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and progresses through signal transduction and ends with cell cycle effector processes."" [GOC:mtg_cell_cycle]",140,10,3,21031,0.3,0.02142857142857143,query_1,['GO:0000075']
GO:BP,GO:0018205,peptidyl-lysine modification,0.03985913449449797,True,"""The modification of peptidyl-lysine."" [GOC:go_curators]",140,10,3,21031,0.3,0.02142857142857143,query_1,['GO:0018193']
KEGG,KEGG:04218,Cellular senescence,0.04007281827398927,True,Cellular senescence,155,10,3,8484,0.3,0.01935483870967742,query_1,['KEGG:00000']
GO:BP,GO:0017015,regulation of transforming growth factor beta receptor signaling pathway,0.040715439867882564,True,"""Any process that modulates the frequency, rate or extent of activity of any TGF-beta receptor signaling pathway."" [GOC:mah]",141,10,3,21031,0.3,0.02127659574468085,query_1,"['GO:0007179', 'GO:0090092', 'GO:1903844']"
GO:MF,GO:0001223,transcription coactivator binding,0.04071784196342309,True,"""Binding to a transcription coactivator, a protein involved in positive regulation of transcription via protein-protein interactions with transcription factors and other proteins that positively regulate transcription. Transcription coactivators do not bind DNA directly, but rather mediate protein-protein interactions between activating transcription factors and the basal transcription machinery."" [GOC:krc]",47,10,2,20212,0.2,0.0425531914893617,query_1,['GO:0001221']
GO:BP,GO:0046827,positive regulation of protein export from nucleus,0.041246526195873955,True,"""Any process that activates or increases the frequency, rate or extent of directed movement of proteins from the nucleus into the cytoplasm."" [GOC:bf]",19,10,2,21031,0.2,0.10526315789473684,query_1,"['GO:0006611', 'GO:0046824', 'GO:0046825', 'GO:0090316']"
REAC,REAC:R-HSA-73894,DNA Repair,0.04155614239516067,True,DNA Repair,329,10,4,10842,0.4,0.0121580547112462,query_1,['REAC:0000000']
GO:MF,GO:0061733,peptide-lysine-N-acetyltransferase activity,0.04247696844456603,True,"""Catalysis of the reaction: acetyl-CoA + lysine in peptide = CoA + N-acetyl-lysine-peptide."" [GOC:dph, RHEA:45948]",48,10,2,20212,0.2,0.041666666666666664,query_1,"['GO:0034212', 'GO:0140096']"
GO:CC,GO:0005634,nucleus,0.04270729728110924,True,"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",10074,10,10,22097,1.0,0.0009926543577526306,query_1,['GO:0043231']
GO:BP,GO:0051223,regulation of protein transport,0.042754590608065565,True,"""Any process that modulates the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",440,10,4,21031,0.4,0.00909090909090909,query_1,"['GO:0015031', 'GO:0051049', 'GO:0070201']"
GO:BP,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,0.043356854247756614,True,"""Any process that modulates the frequency, rate or extent of cellular response to transforming growth factor beta stimulus."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:22269326]",144,10,3,21031,0.3,0.020833333333333332,query_1,"['GO:0071560', 'GO:0090287']"
REAC,REAC:R-HSA-9768919,NPAS4 regulates expression of target genes,0.043764359063511796,True,NPAS4 regulates expression of target genes,21,10,2,10842,0.2,0.09523809523809523,query_1,['REAC:R-HSA-9634815']
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,0.044818685265358475,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2603,10,7,21031,0.7,0.002689204763734153,query_1,"['GO:0009059', 'GO:0010556', 'GO:0010604', 'GO:0031328']"
GO:BP,GO:0007093,mitotic cell cycle checkpoint signaling,0.04517900907661927,True,"""A signaling process that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]",146,10,3,21031,0.3,0.02054794520547945,query_1,"['GO:0000075', 'GO:0045930', 'GO:1903047']"
